38.000,58.200,1
38.900,22.700,2500
33.800,105.600,760
36.300,119.000,6000
31.200,34.200,30000
28.800,104.600,13
36.100,36.100,260000
40.300,116.000,101
36.200,36.100,40000
35.400,114.300,101
40.700,29.700,1000
36.200,36.100,80000
39.400,113.300,5130
36.250,36.100,250000
36.250,36.100,4870
36.200,37.200,130000
38.400,22.300,5000
36.200,36.100,30000
36.250,36.100,60000
34.300,108.900,101
41.000,15.000,1000
36.100,111.500,50
35.300,54.000,40000
38.400,27.200,2000
34.600,105.600,101
37.800,115.200,200
45.400,12.200,48
35.500,129.100,100
56.300,-2.800,1400
27.900,102.200,101
37.400,112.600,20
40.400,71.300,15000
33.500,36.300,50000
36.200,43.100,50000
36.210,42.080,70000
35.300,51.200,45000
40.000,44.600,12000
40.000,45.000,2000
36.800,10.200,45000
36.200,54.300,200000
37.900,22.900,45000
40.000,44.600,12000
33.200,47.200,20000
30.000,31.100,1000
40.000,44.600,150000
38.000,58.300,5000
27.700,52.300,2000
35.000,110.000,62
34.300,109.000,60
33.200,44.200,16000
27.665,52.348,16000
64.000,-21.000,11
33.000,35.000,70000
32.000,119.000,22391
38.400,112.900,32300
38.000,46.200,40000
38.100,46.300,50000
39.700,116.300,25000
38.100,15.100,975
14.200,43.300,50
37.000,15.300,1000
34.000,137.500,400
36.000,59.000,60000
37.300,15.100,15000
40.300,46.300,230000
38.500,106.300,10000
38.700,-9.100,1000
34.500,36.500,2000
36.200,37.200,2000
35.100,36.300,8000
38.400,38.350,20000
64.300,-20.000,19
37.300,15.030,16000
36.200,37.200,80000
64.000,-21.000,11
34.500,36.500,20000
33.500,36.000,30000
42.000,60.000,2000
36.000,111.800,3000
36.000,106.200,10000
45.550,10.220,12000
43.600,5.300,5000
41.000,13.000,9000
39.750,39.500,15000
,,8000
38.000,46.200,250
40.000,116.500,10000
41.500,119.300,100000
36.100,111.500,150
35.200,139.400,23024
34.000,26.000,4000
39.800,113.100,2000
35.900,106.100,5000
31.200,112.200,3466
36.500,113.800,340
39.100,44.500,75
42.800,13.000,5000
34.700,59.700,20000
34.300,35.500,60
29.000,111.300,360
33.500,36.300,5700
32.600,51.700,20
46.400,13.500,5000
42.300,13.500,2000
43.500,12.100,2000
35.100,36.400,24
47.400,7.600,300
14.100,43.200,61
40.300,15.600,4000
32.000,118.800,16
39.300,26.300,500
43.500,12.100,200
14.100,43.200,60
43.400,4.400,600
36.200,103.300,200
48.500,19.100,30
38.700,42.200,30000
40.400,14.500,30000
31.200,34.200,32000
31.200,34.200,100
39.900,40.400,32000
14.100,43.200,10
39.900,40.400,30000
34.400,108.900,1900
54.000,-9.000,100
36.900,27.000,5000
25.500,103.800,3
25.000,103.000,10000
24.900,103.100,10000
34.800,110.100,400
35.700,115.300,50
35.200,25.100,300
40.800,28.100,5000
48.800,10.500,2000
46.200,13.433,15
46.100,13.400,3000
26.600,100.200,100
25.700,100.200,200
38.700,-9.100,30000
28.100,102.100,3
44.070,11.300,113
33.500,59.100,3000
38.700,-9.100,2000
34.500,109.700,830000
24.200,102.700,100
37.500,106.200,1001
40.500,14.700,600
44.017,7.283,650
34.400,109.000,200
20.200,-103.500,60
45.300,11.400,125
34.000,51.400,1200
-39.800,-73.200,21
25.000,98.600,170
25.100,99.900,10
46.200,7.000,100
35.000,136.800,8000
25.300,100.300,20
-12.300,-77.700,22
37.100,-8.000,170
-14.000,-76.000,40
46.800,8.500,9
-17.880,-70.940,100
19.900,110.500,2000
23.600,102.800,2000
39.200,99.000,840
8.300,-71.800,60
21.500,111.300,2
37.500,140.000,3700
38.117,14.783,103
18.900,72.900,2000
35.000,58.000,800
-7.941,-79.038,350
36.500,106.300,12000
39.400,114.200,5200
41.733,15.350,5000
40.600,114.200,63
35.200,139.200,150
34.100,105.300,30
38.100,20.300,520
39.033,16.283,9581
39.250,16.750,52
36.200,50.000,12000
-1.700,-78.600,5000
38.570,16.530,300
38.000,46.100,30000
43.000,8.000,150
14.400,121.000,600
-33.400,-70.600,1000
38.300,43.200,2000
35.500,140.000,200
25.400,100.500,3000
38.200,28.200,2500
34.300,105.500,10400
41.400,13.600,600
-12.100,-76.600,11000
-12.500,-77.000,11000
-12.400,-76.800,11000
37.500,140.000,39
38.700,16.300,2035
38.400,22.400,2
35.500,136.000,600
-14.100,-75.800,400
35.500,127.100,50
38.100,46.300,1500
14.600,121.000,19
37.000,138.000,1500
42.600,18.100,5000
37.200,57.500,12000
40.600,48.600,80000
38.400,27.100,17500
35.300,118.600,42578
40.600,48.600,7000
43.933,12.583,1500
18.300,-69.500,5
36.300,59.300,5600
-3.750,127.750,86
34.500,132.000,7
14.500,120.500,2
38.600,142.000,1
40.100,44.700,7600
40.000,117.000,13162
25.000,101.500,2700
36.500,-4.400,70
38.700,112.700,1001
-13.500,-76.500,5000
40.380,16.550,2000
41.170,14.750,3311
26.500,99.900,190
38.400,26.900,16000
47.700,10.900,19
